  : 178947
! : 52
" : 1801
# : 43
% : 54
& : 130
' : 2462
( : 512
) : 517
+ : 1
, : 10019
- : 3514
. : 11638
/ : 95
0 : 3090
1 : 2132
2 : 1696
3 : 1078
4 : 905
5 : 1080
6 : 704
7 : 642
8 : 628
9 : 828
: : 356
; : 197
< : 0
= : 0
> : 0
? : 171
@ : 26
[ : 0
\ : 0
] : 0
^ : 0
_ : 33
` : 35
a : 77466
b : 13749
c : 28948
d : 36711
e : 106973
f : 20055
g : 18740
h : 41533
i : 66019
j : 2068
k : 7070
l : 38037
m : 22405
n : 64819
o : 67420
p : 19535
q : 912
r : 57703
s : 61096
t : 79253
u : 24023
v : 9242
w : 16162
x : 1776
y : 15055
z : 925
{ : 0
| : 0
} : 0
~ : 0
